id,template_id,day_number,question_text,option_a,option_b,option_c,option_d,correct_option,explanation,difficulty_level,points,is_active,is_deleted,created_at,updated_at,created_by,updated_by
53cadb0f-f7ef-4acb-922b-466c87356b62,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q1: What is the SI unit of power?,Watt,Joule,Newton,Pascal,A,Power is work done per unit time. Unit is Watt (J/s).,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
f3daa6f8-4f11-43c0-a961-a90ca4ae36c2,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q2: What is the acceleration due to gravity on Earth's surface?,9.8 m/s^2,8.9 m/s^2,10.5 m/s^2,7.6 m/s^2,A,Standard value of g is 9.8 m/s^2.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
c34cf4ec-b820-40a4-bfde-94a0c4c49852,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q3: A particle moves in a circle of radius r with constant speed v. What is its centripetal acceleration?,v^2/r,v/r,v^2 r,v r^2,A,Centripetal acceleration is given by a = v^2/r.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
b1efb89e-0cd7-43e3-b9e2-c6bb99b033f8,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q4: What type of collision conserves both momentum and kinetic energy?,Elastic,Inelastic,Perfect Inelastic,Plastic,A,Elastic collisions conserve both kinetic energy and linear momentum.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
0ff31371-5221-4b2a-95d5-6d86e716320f,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q5: Work done by a centripetal force is always:,Zero,Positive,Negative,Infinite,A,"Force and displacement are perpendicular (theta = 90), so Work = F.d.cos(90) = 0.",medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
eaa461ff-ad27-4d1f-8433-6ce4e7e827b6,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q6: The area under a velocity-time graph represents:,Displacement,Acceleration,Force,Impulse,A,Integral of v dt represents displacement.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
274e4e24-d6fb-4c76-9d77-8440b963a126,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q7: The moment of inertia of a ring of mass M and radius R about its central axis is:,MR^2,1/2 MR^2,2/5 MR^2,3/2 MR^2,A,I = MR^2 for a thin circular ring about its axis.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
8dec2e25-9416-4ec6-a867-1ed90379f45a,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q8: Escape velocity of a body from Earth's surface is approximately:,11.2 km/s,8.2 km/s,5.6 km/s,11.2 m/s,A,Ve = sqrt(2gRe) approx 11.2 km/s.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
978b2a16-5173-477e-80b9-b13d2b16f71d,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,"Day 1 - Q9: According to Hooke's law, stress is proportional to:",Strain,Elastic limit,Force,Young's Modulus,A,Stress = E * Strain within elastic limits.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
6ce4328c-f27f-4a3f-8eea-78f66a4d499c,e81d77a0-0001-4c12-a167-9bf461d3fa01,1,Day 1 - Q10: Viscosity of a liquid generally _____ with temperature increase.,Decreases,Increases,Remains constant,First increases then decreases,A,Liquid viscosity decreases with higher temperature due to weaker cohesive forces.,medium,1,True,False,2026-06-12 10:45:17+00,2026-06-12 10:45:17+00,,
